Key,Value
T1056.002,Attacker has presented victims with spoofed Windows Authentication prompts to collect their credentials.
T1056,"During normal system usage, users often provide credentials to various different locations, such as login pages/portals or system dialog boxes."
T1112,Software has altered the InstallTime subkey.
T1588.002,"Software, Software, and Software."
T1132.001,Software can use base64 encoded C2 communications.
T1037.005,"A startup item is a directory whose executable and configuration property list , <code>StartupParameters.plist</code>, reside in the top-level directory."
T1143,"### Mac
The configurations for how applications run on macOS are listed in property list  files."
T1027.013,Software encrypts the configuration.
T1055.015,"Some variations of ListPlanting may allocate memory in the target process but then use window messages to copy the payload, to avoid the use of the highly monitored <code>WriteProcessMemory</code> function."
T1047,Attacker has used WMI to execute scripts used for discovery.
T1106,Attacker has executed malware by calling the API function `CreateProcessW`.
T1555.003,Software can steal data and credentials from browsers.
T1170,"]sct"""")""))</code>

They may also be executed directly from URLs: <code>mshta http//webserver/payload[."
T1566.002,Attacker has sent phishing emails containing a link to an actor-controlled Google Drive document or other free online file hosting services.
T1573.001,Software encrypts C2 traffic using RC4 with a static key.
T1070.007,"Similarly, macOS and Linux hosts may store information highlighting connection history in system logs ."
T1564.009,Adversaries can use resource forks to hide malicious data that may otherwise be stored directly in files.
T1003.006,Adversaries may attempt to access credentials and other sensitive information by abusing a Windows Domain Controller's application programming interface     to simulate the replication process from a remote domain controller using a technique called DCSync.
T1048,Software connects to a predefined domain on port 443 to exfil gathered information.
T1105,Software has the capability to upload and download files to the victim's machine.
T1012,Software can query the Registry for keys added to execute COM hijacking.
T1483,"This has the advantage of making it much harder for defenders block, track, or take over the command and control channel, as there potentially could be thousands of domains that malware can check for instructions."
T1608.001,"Attacker  has uploaded malicious payloads to file-sharing services including TransferNow, TransferXL, WeTransfer, and OneDrive."
T1057,Software has searched for the current process’s PID.
T1059.001,Attacker used PowerShell commands to execute payloads.
T1215,Examples have been found in the wild.
T1027.010,Attacker has used obfuscated variable names in a JavaScript configuration file.
T1588.005,Attacker has obtained exploit code for various CVEs.
T1562.006,"Attacker developed a custom injector that enables an Event Tracing for Windows  bypass, making malicious processes invisible to Windows logging."
T1076,It can also lead to  and Privilege Escalation by stealing a Domain Admin or higher privileged account session.
T1203,Attacker has exploited Microsoft Word vulnerability CVE-2017-0199 for execution.
T1076,"Typically, a user is notified when someone else is trying to steal their session and prompted with a question."
T1087.003,"In Google Workspace, the GAL is shared with Microsoft Outlook users through the Google Workspace Sync for Microsoft Outlook  service."
T1071.001,Software can use HTTPS in C2 communications.
T1090.003,During Software exit nodes.
T1218.010,Software has used regsvr32.exe to execute components of VirtualBox.
T1553.002,Software has been signed with stolen certificates in order to make it look more legitimate.
T1070.004,Software can run a `Clear Agents Track` command on an infected machine to delete Software-related logs.
T1127.001,Adversaries can abuse MSBuild to proxy execution of malicious code.
T1095,Software has a command built in to use a raw TCP socket.
T1021.005,"Adversaries may abuse VNC to perform malicious actions as the logged-on user such as opening documents, downloading files, and running arbitrary commands."
T1134.002,Software can launch an instance of itself with administrative rights using runas.
T1059.007,Software has used JavaScript and Node.Js information stealer script that exfiltrates data using the node process.
T1490,Software can delete the infected system's Shadow Volumes to prevent recovery.
T1043,Attacker malware has communicated with C2 servers over port 6667  and port 8080.
T1112,"Software can add, modify, and/or delete registry keys. It has changed the proxy configuration of a victim system by modifying the <code>HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap</code> registry."
T1059,Software uses a command-line interface to interact with systems.
T1083,"Software has a command to upload to its C2 server information about files on the victim mobile device, including SD card size, installed app list, SMS content, contacts, and calling history."
T1059.003,"During , the threat actors ran a command script to set up persistence as a scheduled task named ""WinUpdate"", as well as other encoded commands from the command-line"
T1082,"Software can collect compromised host information, including OS version, PC name, RAM size, and CPU details."
T1047,Software can use WMI to execute PowerShell commands on a compromised machine.
T1546.004,"These configuration scripts run at the permission level of their directory and are often used to set environment variables, create aliases, and customize the user’s environment."
T1059.003,Software can enable Windows CLI access and execute files.
T1566.002,"In this case, the malicious emails contain links."
T1036.005,Software has mimicked the Cron binary to hide itself on compromised systems.
T1027,Software has been delivered as password-protected zipped ISO files and used control-flow-flattening to obfuscate the flow of functions.
T1090.001,Software supports peer connections.
T1059.001,"Attacker malware uses PowerShell commands to perform various functions, including gathering system information via WMI and executing commands from its C2 server."
T1555.003,Attacker used the public tool BrowserPasswordDump10 to dump passwords saved in browsers on victims.
T1083,Software has searched for files and directories on a compromised network.
T1057,Software enumerates all running processes.
T1573.001,Software has used an RC4-based encryption method for its C2 communications.
T1020,"When automated exfiltration is used, other exfiltration techniques likely apply as well to transfer the information out of the network, such as  and ."
T1098,Attacker has created their own accounts with Local Administrator privileges to maintain access to systems with short-cycle credential rotation.
T1571,Adversaries may make changes to the standard port used by a protocol to bypass filtering or muddle analysis/parsing of network data.
T1055.011,Execution via EWM injection may also evade detection from security products since the execution is masked under a legitimate process.
T1083,"Software searches through the drive containing the OS, then all drive letters C through to Z, for documents matching certain extensions."
T1053.005,Software has the ability to achieve persistence by adding a new task in the task scheduler to run every minute.
T1203,Adversaries may exploit software vulnerabilities in client applications to execute code.
T1546.003,"Examples of events that may be subscribed to are the wall clock time, user login, or the computer's uptime."
T1021.001,Attacker has moved laterally via RDP.
T1570,Attacker has deployed tools after moving laterally using administrative accounts.
T1133,Attacker has used stolen credentials to connect to the victim's network via VPN.
T1553.002,"For , the threat actors used DLL files that had invalid certificates."
T1003,Software has a plugin for credential harvesting.
T1598.003,These links may direct a victim to a credential phishing page.
T1543,"When operating systems boot up, they can start processes that perform background system functions."
T1596.001,Adversaries may search DNS data for information about victims that can be used during targeting.
T1218.010,"This method makes no changes to the Registry as the COM object is not actually registered, only executed."
T1018,"During , the threat actors used several tools and batch files to map victims' internal networks."
T1558.001,"Using a golden ticket, adversaries are then able to request ticket granting service  tickets, which enable access to specific resources."
T1057,Software obtains a list of running processes using the function <code>kill_unwanted</code>.
T1016,"Software gathers information on the IP forwarding table, MAC address, configured proxy, and network SSID."
T1083,Software can enumerate directories on target machines.
T1102.003,"Alternatively, compromised systems may return no output at all in cases where adversaries want to send instructions to systems and do not want a response."
T1547.012,"The print spooler service runs under SYSTEM level permissions, therefore print processors installed by an adversary may run under elevated privileges."
T1059.007,Software can execute JavaScript containing configuration data for establishing persistence.
T1534,During Attacker conducted internal spearphishing from within a compromised organization.
T1036.004,Software has mimicked an existing Windows service by being installed as <code>Windows Time Service</code>.
T1490,Software can delete volume shadow copies on compromised hosts.
T1027.002,Software packing is a method of compressing or encrypting an executable.
T1134.004,"Software relies on parent PID spoofing as part of its ""rootkit-like"" functionality to evade detection via Task Manager or Process Explorer."
T1098,Attacker added newly created accounts to the administrators group to maintain elevated access.
T1195.002,Software by compromising the legitimate Ukrainian accounting software M.E.Doc and replacing a legitimate software update with a malicious one.
T1027.004,These payloads will need to be compiled before execution; typically via native utilities such as csc.exe or GCC/MinGW.
T1105,Software has downloaded and executed additional plugins.
T1106,Software has used the Windows Crypto API to generate an AES key.
T1563.002,"With System permissions and using Terminal Services Console, `c:\windows\system32\tscon.exe `, an adversary can hijack a session without the need for credentials or prompts to the user."
T1547.001,Software can use the <code>HKCU\Software\Microsoft\Windows\CurrentVersion\Run</code> Registry key for persistence.
T1057,Software to obtain information from a compromised host.
T1036.004,Software can impersonate Windows services and antivirus products to avoid detection on compromised systems.
T1489,Software can kill processes and delete services.
T1021.002,Attacker has used Windows Explorer to manually copy malicious files to remote hosts over SMB.
T1218.013,"Mavinject.exe is the Microsoft Application Virtualization Injector, a Windows utility that can inject code into external processes as part of Microsoft Application Virtualization ."
T1548.003,"This means that, for example, the sudo timeout of one tty will not affect another tty ."
T1100,A Web shell is a Web script that is placed on an openly accessible Web server to allow an adversary to use the Web server as a gateway into a network.
T1021.001,Software can open an active screen of the victim’s machine and take control of the mouse and keyboard.
T1012,Software queries Registry keys in preparation for setting Run keys to achieve persistence.
T1497.003,Software has checked if the malware is running in a virtual environment with the anti-debug function GetTickCount to compare the timing.
T1597.001,Adversaries may search in private threat intelligence vendor data to gather actionable information.
T1113,Software is capable of taking an image of and uploading the current desktop.
T1070.002,Attacker has removed system logs from <code>/var/log/syslog</code>.
T1070.009,Software removed IFEO registry values to clean up traces of persistence.
T1557.003,Adversaries may use their rogue DHCP server to respond to this request message with malicious network configurations.
T1043,Software has used TCP port 443 for C2.
T1132.001,Software exfiltrates data using cookie values that are Base64-encoded.
T1204.001,Attacker has lured victims into clicking a malicious link delivered through spearphishing.
T1140,Software has used Google Chrome's decryption and extraction operations.
T1546.001,Attacker has a HWP document stealer module which changes the default program association in the registry to open HWP documents.
T1136.001,"Attacker created accounts on victims, including administrator accounts, some of which appeared to be tailored to each individual staging target."
T1546.008,The  debugger method was likely discovered as a potential workaround because it does not require the corresponding accessibility feature binary to be replaced.
T1056.002,Software prompts the user for credentials.
T1105,"Software can download additional plugins, files, and tools."
T1601.002,The adversary could then restart the device to implement the change immediately or they could wait until the next time the system restarts.
T1203,"Attacker has exploited Microsoft Office vulnerabilities, including CVE-2015-1641, CVE-2017-11882, and CVE-2018-0802."
T1647,"Adversaries can also insert key-value pairs to insert environment variables, such as <code>LSEnvironment</code>, to enable persistence via ."
T1591.004,Adversaries may gather information about identities and roles within the victim organization that can be used during targeting.
T1588.001,Attacker acquired and used the Redline password stealer in their operations.
T1539,There are also open source frameworks such as `Evilginx2` and `Muraena` that can gather session cookies through a malicious proxy ) that can be set up by an adversary and used in phishing campaigns.
T1564.001,Software has a dynamic debugging feature to set the file attribute to hidden.
T1105,Attacker has used LNK files to download remote files to the victim's network.
T1566.003,It is different from other forms of spearphishing in that it employs the use of third party services rather than directly via enterprise email channels.
T1059.005,Software can use a malicious VBS file for execution.
T1070.004,Software has the capability to delete files and scripts from the victim's machine.
T1486,Software can use an embedded RSA-2048 public key to encrypt victim data for ransom.
T1027,Software obfuscates internal strings and unpacks them at startup.
T1056.001,"When it first starts, Software spawns a new thread to log keystrokes."
T1565.003,Adversaries may alter application binaries used to display data in order to cause runtime manipulations.
T1043,Software communicates over port 80 for C2.
T1546.012,"When a process is created, a debugger present in an application’s IFEO will be prepended to the application’s name, effectively launching the new process under the debugger ."
T1571,"For example, HTTPS over port 8088 or port 587 as opposed to the traditional port 443."
T1027.013,Software modules are stored encrypted on disk.
T1036.005,Software has downloaded a DLL to the <code>C:\windows\system32\drivers\</code> folder and renamed it with a <code>.sys</code> extension.
T1584.004,Attacker compromised legitimate Linux servers running the EXIM mail transfer agent for use in subsequent campaigns.
T1134,An adversary can then use a token to authenticate to a remote system as the account for that token if the account has appropriate permissions on the remote system.
T1082,Software gathers system configuration information.
T1106,Software has used various API calls.
T1003.004,"Attacker used several tools for retrieving login and password information, including LaZagne."
T1041,Software can send data and files from a compromised host to its C2 server.
T1059.003,Attacker has executed ransomware using batch scripts deployed via GPO.
T1547.001,"Software registers itself under a Registry Run key with the name ""USB Disk Security."""
T1562.011,An adversary can also present a “healthy” system status even after infection.
T1204.002,Attacker has sent malicious files via email that tricked users into clicking Enable Content to run an embedded macro and to download malicious archives.
T1489,Software has stopped SQL services to ensure it can encrypt any database.
T1021.005,Attacker has used TightVNC to control compromised hosts.
T1105,Attacker has downloaded an auxiliary program named ff.exe to infected machines.
T1043,Software communicates with its C2 domain over ports 443 and 8443.
T1053.005,Software can use `schtasks.exe` to gain persistence.
T1105,"Once present, adversaries may also transfer/spread tools between victim devices within a compromised environment (i.e."
T1546.005,Adversaries can use this to register code to be executed when the shell encounters specific interrupts as a persistence mechanism.
T1106,Adversaries may abuse these OS API functions as a means of executing behaviors.
T1082,"Software has the capability to discover the system OS, Windows version, architecture and environment."
T1105,Attacker has downloaded PowerShell code from the C2 server to be executed.
T1059.006,Attacker has used a macOS Python implant to gather data as well as MailFetcher.py code to automatically collect email data.
T1056.001,"Keylogging is likely to be used to acquire credentials for new access opportunities when  efforts are not effective, and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successfully captured."
T1041,"During , threat actors used the XServer backdoor to exfiltrate data."
T1071.001,Software uses Software to communicate with the C2 server over HTTP.
T1562.008,"Software can disable or otherwise restrict various AWS logging services, such as AWS CloudTrail and VPC flow logs."
T1191,Adversaries may supply CMSTP.exe with INF files infected with malicious commands.
T1505.003,Software is a web shell that can enable the execution of arbitrary commands on compromised web servers.
T1552,Software uses an external software known as NetPass to recover passwords.
T1550.003,Attacker used Kerberos ticket attacks for lateral movement.
T1005,Software can collect information from an air-gapped host machine.
T1547.006,They extend the functionality of the kernel without the need to reboot the system.
T1083,Software can check for specific files and directories associated with virtualization and malware analysis.
T1071.002,Software has the ability to transfer data between SMB shares.
T1202,Software uses the Software utility to execute commands on the system.
T1090.001,Attacker has compromised internal network systems to act as a proxy to forward traffic to C2.
T1090.001,Adversaries may use an internal proxy to direct command and control traffic between two or more systems in a compromised environment.
T1587.002,Attacker has created self-signed certificates from fictitious and spoofed legitimate software companies that were later used to sign malware.
T1574.004,This method may also evade detection from security products since the execution is masked under a legitimate process.
T1153,"Without a space, a new shell is created that runs the program instead of running the program within the current context."
T1598.003,Software has been delivered via malicious links in phishing emails.
T1027.013,"For example, Byte Order Mark  headers in text files may be abused to manipulate and obfuscate file content until  execution."
T1497,Software can check to determine if the compromised system is running on VMware.
T1053.005,Software has used scheduled tasks to maintain persistence.
T1598.003,Attacker has used web beacons in e-mails to track hits to attacker-controlled URL's.
T1552.005,"Additionally, adversaries may exploit a Server-Side Request Forgery  vulnerability in a public facing web proxy that allows them to gain access to the sensitive information via a request to the Instance Metadata API."
T1060,"]dll""</code> 

The following Registry keys can be used to set startup folder items for persistence:
* <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders</code>
* <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders</code>
* <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders</code>
* <code>HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders</code>

The following Registry keys can control automatic startup of services during boot:
* <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce</code>
* <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunServicesOnce</code>
* <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\RunServices</code>
* <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\RunServices</code>

Using policy settings to specify startup programs creates corresponding values in either of two Registry keys:
* <code>HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run</code>
* <code>HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\Run</code>

The Winlogon key controls actions that occur when a user logs on to a computer running Windows 7."
T1005,Attacker has collected large numbers of files from compromised network systems for later extraction.
T1069,Adversaries may attempt to discover group permission settings in many different ways.
T1556.003,Software has the ability to replace the pam_unix.so file on an infected machine with its own malicious version that accepts a specific backdoor password for all users.
T1069.001,"During , the threat actors used the `net group` command as part of their advanced reconnaissance."
T1059.001,"During the Attacker used PowerShell to create new tasks on remote machines, identify configuration settings, exfiltrate data, and execute other commands."
T1082,Software has used Software to gather system information.
T1057,Software has the ability to list running processes on the infected host.
